state,overall_homeless,unsheltered,chronic_ind,ppl_in_families,individuals,shelt_es,shelt_th,year,population,cb_share,severe_share,renter_hh_total,unsheltered_share,chronic_share,family_share,es_share,th_share,homeless_per_10k
UT,3011.0,313.0,801.0,1066.0,1945.0,1551.0,1147.0,2007,2645330.0,0.4215785708464262,0.17678780030607902,236119.0,0.10395217535702425,0.26602457655264033,0.35403520425107937,0.5151112587180339,0.3809365659249419,11.382322810386606
UT,3434.0,256.0,702.0,1416.0,2018.0,1730.0,1448.0,2008,2736424.0,0.42717387958969216,0.19159862644489292,241573.0,0.07454863133372161,0.20442632498543972,0.41234711706464766,0.5037856726849156,0.42166569598136283,12.549224827731376
UT,3795.0,255.0,700.0,1553.0,2242.0,2080.0,1460.0,2009,2784572.0,0.48818730292292145,0.2293142259831625,246016.0,0.06719367588932806,0.1844532279314888,0.4092226613965744,0.5480895915678524,0.3847167325428195,13.628665374786502
UT,3284.0,562.0,406.0,1358.0,1926.0,1448.0,1225.0,2010,2776469.0,0.48839709162352146,0.23706247534080022,264883.0,0.17113276492082827,0.12362971985383678,0.41352009744214374,0.440925700365408,0.37302070645554203,11.827972867696344
UT,3130.0,443.0,364.0,1288.0,1842.0,1506.0,1133.0,2011,2817222.0,0.5120048731478478,0.25635842951735266,270754.0,0.14153354632587858,0.11629392971246007,0.4115015974440895,0.48115015974440895,0.3619808306709265,11.110235544092726
UT,3527.0,475.0,331.0,1478.0,2049.0,1725.0,1280.0,2012,2855287.0,0.49587884552647404,0.24299285823778885,272102.0,0.13467536149702297,0.09384746243266232,0.4190530195633683,0.48908420754182025,0.3629146583498724,12.35252358169249
UT,3277.0,418.0,347.0,1318.0,1959.0,1773.0,1037.0,2013,2900872.0,0.46944867119913136,0.22069886091663715,276903.0,0.1275556911809582,0.10588953310955142,0.40219713152273423,0.5410436374732988,0.31644797070491304,11.296603228270671
UT,3081.0,313.0,386.0,1352.0,1729.0,1762.0,959.0,2014,2942902.0,0.46562017692452473,0.20504423113118767,283207.0,0.10159039272963323,0.12528399870172022,0.4388185654008439,0.5718922427783187,0.31126257708536187,10.469257895777705
UT,3025.0,226.0,178.0,1216.0,1809.0,1912.0,865.0,2015,2995919.0,0.44419630497775975,0.2030785699784057,289765.0,0.07471074380165289,0.05884297520661157,0.40198347107438015,0.6320661157024794,0.2859504132231405,10.097068712471865
UT,2807.0,236.0,168.0,979.0,1828.0,1984.0,587.0,2016,3051217.0,0.45010191662995674,0.20863043462029524,283881.0,0.0840755254720342,0.059850374064837904,0.34877092981831137,0.7068044175276096,0.20912005700035624,9.199607894161575
UT,2852.0,278.0,163.0,970.0,1882.0,2165.0,409.0,2017,3101833.0,0.4432901747308913,0.1904906489694709,293885.0,0.09747545582047686,0.057152875175315566,0.34011220196353437,0.7591164095371669,0.14340813464235624,9.194563343674531
UT,2876.0,420.0,298.0,972.0,1904.0,1946.0,510.0,2018,3161105.0,0.4438283354282636,0.2005782007541749,294908.0,0.14603616133518776,0.10361613351877608,0.3379694019471488,0.6766342141863699,0.17732962447844228,9.098084372395096
UT,2798.0,408.0,493.0,877.0,1921.0,1971.0,419.0,2019,3205958.0,0.44030810078076016,0.19510597531971235,300567.0,0.14581844174410294,0.17619728377412439,0.31343817012151537,0.7044317369549679,0.14974982130092923,8.727500485034426
UT,3131.0,704.0,643.0,981.0,2150.0,2034.0,393.0,2020,3151239.0,,,,0.22484829128074096,0.20536569786010858,0.3133184286170553,0.6496327052060045,0.12551900351325454,9.935774468391639
