coc_number,emp_2012,emp_2023,employment_growth_12_23,avg_weekly_wage_2012,avg_weekly_wage_2023,inmig_persons,in_migration_rate,pop_2012,pop_2024,population_growth_12_24
GA-505,106881.0,105084.0,-0.016813091194880288,737.1063799927022,1000.7978093715503,17898.0,0.0691205264560379,245216.0,262522.0,0.07057451389795119
GA-506,301277.0,384916.0,0.2776149523528182,1003.0,1433.0,46761.0,0.06419792747821217,691820.0,775208.0,0.12053424301118788
GA-507,132921.0,168990.0,0.2713566705035322,790.0,1137.0,17485.0,0.06186905768665985,266344.0,300879.0,0.12966314240230678
GA-508,264541.4651430718,298960.44713234657,0.13010807954306897,990.0,1400.0,48985.72023561199,0.0706711681968001,665160.7588458104,732838.209660976,0.10174600638287759
GU-500,,,,,,,,,,
HI-500,161163.0,179195.0,0.11188672337943573,733.9891848625305,1094.7550880325903,13510.0,0.031670272842565225,407449.0,444022.0,0.08976092713443891
HI-501,443451.0,448389.0,0.011135390381349912,870.0,1282.0,39254.0,0.03977106359783546,955215.0,1001146.0,0.048084462660238796
IA-500,62344.0,64958.0,0.04192865392018478,673.5664217887849,1028.9148834631608,4823.0,0.03917220990391722,122817.0,127601.0,0.038952262308963745
IA-501,1108371.9893178267,1132404.0356072444,0.02168229305777453,742.7971610327762,1087.630813780589,101572.71445039322,0.041660397246063026,2409342.880318672,2488723.6611676104,0.03294706681119592
IA-502,278294.0106821733,323050.9643927556,0.16082614786021077,940.823955659925,1349.2637300848253,21676.285549606786,0.04584148889740952,443562.11968132795,522112.3388323898,0.1770895567175469
ID-500,198957.0,282036.0,0.41757264132450733,805.0,1257.0,28719.0,0.06744747509382383,394961.0,518935.0,0.3138892194419196
ID-501,410953.0,537642.0,0.30828099563697065,636.4893965976645,955.5145189549924,82443.0,0.06815245291129508,1172842.0,1415327.0,0.20674992880541454
IL-500,91668.88230543539,94448.65787099909,0.03032409139997639,794.0,1029.0,13295.090187343492,0.04417046857038653,302053.58872031356,306393.8024735985,0.014369018993195159
IL-501,140653.0,137401.0,-0.023120729739145272,799.9565455411545,1108.2046782774507,12167.0,0.035518694971858285,348574.0,336522.0,-0.03457515477344839
IL-502,331758.3509647361,338229.56851631874,0.019505816606468843,1220.914602755959,1728.4940746445275,27480.875057510064,0.03771043351553525,726843.4741649324,739899.5814144592,0.01796274949641239
IL-503,87426.0,95666.0,0.09425113810536911,801.0,1168.0,7382.0,0.03576203856215483,200931.0,208741.0,0.03886906450473048
IL-504,94116.0,103506.0,0.09977049598367971,768.0,1060.0,9193.0,0.0344618175956575,268586.0,264238.0,-0.016188483390794754
IL-506,227737.00143132696,293140.0724417767,0.2871868453496421,817.7578215174316,1118.1330295426426,39482.50109574571,0.04929317354735517,786202.0705581446,834842.2527101834,0.061867278112747656
IL-507,183148.0,169385.0,-0.07514687575075894,981.3940365169153,1239.8153614546743,14658.0,0.036885864696467936,397325.0,381267.0,-0.040415277166047946
IL-508,95132.54995104294,92002.24977005014,-0.032904617637219954,752.0742428007611,1052.879927319201,11260.636056137437,0.04120021241475015,276458.11817939056,261746.36495267483,-0.05321512467638744
IL-509,35871.0,36133.0,0.007303950266231775,732.0,1044.0,5048.0,0.04832564284209922,104820.0,100703.0,-0.039276855561915666
IL-510,1250442.1820964995,1330562.2427769324,0.06407338286213532,1114.9930707017247,1613.8236040394563,62615.607211305396,0.02305137674132766,2700794.355790345,2692738.2806193875,-0.002982853971716036
IL-511,1148662.114621425,1222838.6897104299,0.06457649655612771,1114.3112635344933,1612.6128865982837,57747.84363089484,0.023105385148502088,2484979.9702787385,2477866.5085639646,-0.0028625831193222827
IL-512,206540.0,202270.0,-0.02067396146024983,797.4857218940641,1113.4843822613338,18124.0,0.03398283982839828,537842.0,510618.0,-0.05061709572699789
IL-513,127758.0,128309.0,0.004312841465896461,950.0,1251.0,5765.0,0.029022498099567556,197474.0,194947.0,-0.012796621327364616
IL-514,549505.0278376876,602361.9861247195,0.09619012676740185,1104.3965600643974,1481.662497859963,40594.59410023699,0.04425240978853796,905659.574757823,917712.4244356754,0.013308366646568426
IL-515,131556.0,134634.0,0.02339688041594454,653.2168278147709,937.4828275175662,13252.0,0.032830503729725576,410639.0,383504.0,-0.0660799388270476
IL-516,50363.0,45500.0,-0.0965589817921887,859.0,1290.0,2935.0,0.027074646692003986,110558.0,101849.0,-0.07877313265435337
IL-517,230006.44074288997,251212.78255882443,0.09219890428911824,861.9936650898297,1218.2910213847954,24850.48871696356,0.04225360970838536,575852.9657297041,579086.1497827327,0.005614599985486899
IL-518,250357.0,238784.0,-0.046225989287297736,783.9738173887688,1101.260942944251,23305.0,0.03528323482389419,673094.0,641583.0,-0.04681515508977944
IL-519,86677.0,84180.0,-0.02880810364918029,670.3870923082247,970.4343905915895,6739.0,0.02994858211973211,229011.0,209915.0,-0.08338464091244525
IL-520,190077.45004895708,187200.75022994986,-0.01513435611781558,687.8340565710948,958.7167878785199,19553.363943862565,0.03374784075806972,586161.8818206094,550625.6350473252,-0.06062531166801441
