coc_number,rent_2012,rent_2024,income_2012,income_2024,homeless_per_10k_2012,homeless_per_10k_2024,d_rent,d_income,d_homeless
MA-515,802.0,1245.0,55995.0,85625.0,34.53240647004567,58.828822748644576,443.0,29630.0,24.296416278598905
MA-516,1237.1048619775488,2134.1107455734837,78833.90240924775,125122.44082273504,33.099346605449064,107.8904209893193,897.0058835959348,46288.53841348729,74.79107438387024
MA-517,1268.0,2201.0,81420.0,130847.0,,,933.0,49427.0,
MA-519,802.0,1245.0,55995.0,85625.0,,,443.0,29630.0,
MD-500,598.0,805.0,39087.0,59603.0,,,207.0,20516.0,
MD-501,909.0,1331.0,40803.0,62177.0,62.06119162640902,25.764895330112722,422.0,21374.0,-36.2962962962963
MD-502,1085.0,1586.0,80441.0,112265.0,,,501.0,31824.0,
MD-503,1409.0,2071.0,86987.0,124911.0,6.663843912408864,4.537845452417832,662.0,37924.0,-2.125998459991032
MD-504,1433.0,2099.0,107821.0,149763.0,7.4567105531906615,4.214662486586026,666.0,41942.0,-3.242048066604635
MD-505,1118.0,1627.0,66068.0,91768.0,9.689147912109739,6.842960712927503,509.0,25700.0,-2.8461871991822356
MD-506,1005.0,1427.0,83155.0,118211.0,9.96806637419047,7.9983287074342675,422.0,35056.0,-1.9697376667562017
MD-507,966.0,1377.0,66025.0,92007.0,,,411.0,25982.0,
MD-508,1351.212944005577,1827.620179173926,90406.95871227764,124551.59096866562,,,476.4072351683492,34144.63225638798,
MD-509,1210.0,1774.0,83706.0,122002.0,,,564.0,38296.0,
MD-510,615.0,765.0,45354.0,67688.0,,,150.0,22334.0,
MD-511,995.0766658301283,1287.236207417199,64802.83064181953,85144.88173390842,4.67008750576464,7.530516103045481,292.15954158707075,20342.051092088892,2.8604285972808414
MD-512,824.0,1147.0,54561.0,77747.0,,,323.0,23186.0,
MD-513,901.9634604503791,1235.3292919601388,51463.24487948399,76305.72835212281,12.355549095137727,15.374552041460975,333.3658315097597,24842.48347263882,3.0190029463232477
MD-514,,,,,,,,,
MD-600,1216.0,1799.0,73568.0,101798.0,7.1405257699458495,7.240782762035574,583.0,28230.0,0.10025699208972405
MD-601,1525.0,2068.0,96985.0,132450.0,9.567690435524776,11.146067065417867,543.0,35465.0,1.578376629893091
ME-500,758.1811074394094,1168.6847920150856,48631.12931688291,76715.23075016374,17.993522933282602,20.316965719067944,410.5036845756762,28084.101433280834,2.3234427857853426
MI-500,645.795770190659,896.6775111931009,44094.43416283155,66694.09718542104,9.879152787549982,8.195254368087502,250.8817410024419,22599.663022589484,-1.68389841946248
MI-501,785.9999999999999,1132.0,41504.0,60539.0,45.5780511322817,25.239851750621487,346.0000000000001,19035.0,-20.338199381660214
MI-502,786.0,1132.0,41504.0,60539.0,4.390536364894157,2.0661347599501916,346.0,19035.0,-2.324401604943965
MI-503,801.0,1211.0,53628.0,77837.0,7.060577897250562,5.071518885010289,410.0,24209.0,-1.989059012240273
MI-504,909.0,1376.0,65637.0,97760.0,6.015147160615763,2.890185109474869,467.0,32123.0,-3.124962051140894
MI-505,695.0,989.0,42730.0,62281.0,10.530392892589994,10.239899295553027,294.0,19551.0,-0.2904935970369671
MI-506,737.0,1243.0,51030.0,82631.0,11.313223760312193,17.303512183960645,506.0,31601.0,5.990288423648453
MI-507,707.0,1093.0,46011.0,72532.0,28.189710175750665,25.67622435761103,386.0,26521.0,-2.5134858181396353
MI-508,747.9751731764788,1084.0520296861691,45645.60172326816,65673.53017513247,16.412792200082414,22.628700735432776,336.0768565096903,20027.92845186431,6.215908535350362
MI-509,893.0,1463.0,59063.0,89180.0,10.64002100077636,9.215766221144877,570.0,30117.0,-1.4242547796314824
MI-510,700.0,947.0,42828.0,60622.0,20.59415679222955,19.620801122945068,247.0,17794.0,-0.9733556692844836
MI-511,694.0,987.0,48528.0,70518.0,11.958691840726441,20.471658913785937,293.0,21990.0,8.512967073059496
MI-512,790.9369431730706,1157.6471299060008,49102.07104708824,80586.36282131243,18.54296863539008,11.853416659331632,366.7101867329302,31484.29177422419,-6.689551976058446
MI-513,595.9057998409573,921.8619817065135,44479.134260647385,64950.56251153228,,,325.9561818655561,20471.428250884892,
MI-514,652.0,968.0,42164.0,63177.0,16.036706238724193,18.70949061184489,316.0,21013.0,2.6727843731206953
MI-515,775.0,1059.0,54588.0,77335.0,7.536096568741872,8.069625529360765,284.0,22747.0,0.5335289606188933
MI-516,656.0,1028.0,40843.0,65024.0,26.546924739177914,11.79217882287334,372.0,24181.0,-14.754745916304573
MI-517,719.0,985.0,46572.0,66073.0,16.051867597173366,6.207558172344388,266.0,19501.0,-9.844309424828978
MI-518,913.0,1287.0,72396.0,103039.0,8.071415887775034,3.7128513083765156,374.0,30643.0,-4.358564579398518
MI-519,748.0746133952734,1208.340344359109,55641.700577287666,90329.02653989557,11.357904501892396,11.28735851119741,460.2657309638355,34687.3259626079,-0.0705459906949848
MI-523,744.0,1092.0,55301.0,79597.0,22.018720518867923,5.067069575471698,348.0,24296.0,-16.951650943396224
MN-500,895.0,1487.0,63559.0,97653.0,27.165261543168786,31.969832915035166,592.0,34094.0,4.8045713718663805
MN-501,821.0,1329.0,53152.0,81568.0,22.915067503499344,30.854442287141975,508.0,28416.0,7.939374783642631
MN-502,669.69532369838,1044.4792032026821,55381.247588478094,81802.0349810084,5.288170404663637,8.483397377402351,374.78387950430215,26420.787392530307,3.1952269727387144
MN-503,960.9338128014583,1552.1489919169408,75657.0826485804,109706.64027500415,6.807270452136828,6.049133649143863,591.2151791154824,34049.557626423746,-0.7581368029929649
MN-504,632.876571065385,953.7095153570637,47060.65474696115,71700.58461440934,14.191634908232743,9.009296318147753,320.8329442916787,24639.92986744819,-5.18233859008499
